Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
VM221101,194,main,7,4,bkbg0308,He needed his holiday,He,needed,holiday,NA,1429.333333,bkbg0308_4ch.wav,0.785398163397448,1,2.11072495351004,0
VM221101,195,main,7,1,bkbg0815,The three girls are listening,three,girls,listening,NA,1696,bkbg0815_8ch.wav,-0.229014399928559,0,-2.62740074264041,-1.01441256332601
VM221101,196,main,7,1,bkbg0511,He’s washing his face,Hes,washing,face,NA,1696,bkbg0511_8ch.wav,0.785398163397448,1,2.13076684217386,0
VM221101,197,main,7,1,aslg1805,The little girl was staring,little,girl,staring,NA,1770.666667,aslg1805_8ch.wav,1.74814960704736,0,-2.26089226759176,0.962751443649916
VM221101,198,main,7,1,bkbg0412,They’re kneeling down,Theyre,kneeling,down,NA,1226.666667,bkbg0412_8ch.wav,0.785398163397448,1,-2.06973878773043,0
VM221101,199,main,7,1,aslg0701,The cat scratched the chair,cat,scratched,chair,NA,1831.9375,aslg0701_8ch.wav,-0.122987316674893,0,0.311263069153676,-0.908385480072341
VM221101,200,main,7,1,bkbg1401,The angry man shouted,angry,man,shouted,NA,1587.645833,bkbg1401_8ch.wav,1.77188228856639,0,2.95980576388993,0.986484125168943
VM221101,201,main,7,3,aslg1104,She polished her shoes,She,polished,shoes,NA,1431.520833,aslg1104_4ch.wav,0.785398163397448,1,0.468790309210257,0
VM221101,202,main,7,3,bkbg1306,Potatoes grow in the ground,otatoes,row,ground,NA,1802.666667,bkbg1306_4ch.wav,1.6658640155089,0,2.32707040659045,0.88046585211145
VM221101,203,main,7,3,aslg0106,The bag was very heavy,bag,very,heavy,NA,1472,aslg0106_4ch.wav,0.785398163397448,1,1.43800773117553,0
VM221101,204,main,7,3,bkbg0910,They went on holiday,They,went,holiday,NA,1269.333333,bkbg0910_4ch.wav,1.79227247944815,0,-0.184831047991129,1.0068743160507
VM221101,205,main,7,3,aslg1305,The woman used her key,woman,used,key,NA,1856,aslg1305_4ch.wav,0.785398163397448,1,0.842782877900852,0
VM221101,206,main,7,3,bkbg2008,They sat on a wooden bench,They,sat,wooden,bench,1738.666667,bkbg2008_4ch.wav,1.81047218231953,0,1.5405553519683,1.02507401892208
VM221101,207,main,7,2,bkbg2013,She brushed her hair,She,brushed,hair,NA,1269.333333,bkbg2013_8ch.wav,0.785398163397448,1,0.738383668188941,0
VM221101,208,main,7,2,aslg1802,The girl carried a basket,girl,carried,basket,NA,1930.666667,aslg1802_8ch.wav,0.785398163397448,1,1.93008792576963,0
VM221101,209,main,7,2,bkbg1204,He lost his hat,He,lost,hat,NA,1013.333333,bkbg1204_8ch.wav,0.894064929114052,0,-0.386488404443406,0.108666765716604
VM221101,210,main,7,2,bkbg2116,They lost some money,They,lost,money,NA,1056,bkbg2116_8ch.wav,0.939137041648171,0,-1.16335928298184,0.153738878250723
VM221101,211,main,7,2,bkbg1916,The cows went to market,cows,went,market,NA,1674.666667,bkbg1916_8ch.wav,0.785398163397448,1,-0.486554620955767,0
VM221101,212,main,7,2,bkbg0213,Some sticks were under the tree,sticks,under,tree,NA,1941.333333,bkbg0213_8ch.wav,0.903296685087742,0,1.2663589014116,0.117898521690293
VM221101,213,main,7,4,aslg1401,The chocolate box was empty,chocolate,box,empty,NA,1738.666667,aslg1401_4ch.wav,0.785398163397448,1,0.0278583103245863,0
VM221101,214,main,7,4,bkbg0701,The children dropped the bag,children,dropped,bag,NA,1728,bkbg0701_4ch.wav,0.785398163397448,1,1.72158868168489,0
VM221101,215,main,7,4,bkbg0109,The postman shut the gate,postman,shut,gate,NA,1728,bkbg0109_4ch.wav,0.562509856067209,0,-0.157538001615111,-0.222888307330239
VM221101,216,main,7,4,bkbg0208,Snow falls at Christmas,Snow,falls,Christmas,NA,1728,bkbg0208_4ch.wav,0.785398163397448,1,-1.7566747285035,0
VM221101,217,main,7,4,aslg1603,The two boys are laughing,two,boys,laughing,NA,1354.666667,aslg1603_4ch.wav,0.969080197748024,0,0.410826597774907,0.183682034350576
VM221101,218,main,7,4,aslg0707,The driver hooted his horn,driver,hooted,horn,NA,1813.333333,aslg0707_4ch.wav,0.785398163397448,1,2.31808519134246,0
VM221101,219,main,7,1,aslg0912,The lady has a fur coat,lady,fur,coat,NA,1653.333333,aslg0912_8ch.wav,-0.152754924717526,0,-1.78441266621212,-0.938153088114974
VM221101,220,main,7,1,aslg1509,The lion escaped from the zoo,lion,escaped,zoo,NA,1792,aslg1509_8ch.wav,1.81195866079853,0,2.28411232625381,1.02656049740108
VM221101,221,main,7,1,aslg0208,The snow lay on the hills,snow,lay,hills,NA,1792,aslg0208_8ch.wav,0.785398163397448,1,-2.57732703698514,0
VM221101,222,main,7,1,bkbg0605,The small boy was asleep,small,boy,asleep,NA,1760,bkbg0605_8ch.wav,-0.225017742351611,0,-2.24372003823302,-1.01041590574906
VM221101,223,main,7,1,bkbg1616,The painter used a brush,painter,used,brush,NA,1514.666667,bkbg1616_8ch.wav,1.7562567054611,0,2.52928586065331,0.970858542063648
VM221101,224,main,7,1,bkbg1707,The baby wants his bottle,baby,wants,bottle,NA,1440,bkbg1707_8ch.wav,0.785398163397448,1,0.69914300767164,0
VM221101,225,main,7,3,bkbg0602,The mother stirs the tea,mother,stirs,tea,NA,1546.666667,bkbg0602_4ch.wav,1.73767243697906,0,0.285394330361543,0.952274273581612
VM221101,226,main,7,3,aslg0702,She tapped at the window,She,tapped,window,NA,1578.666667,aslg0702_4ch.wav,0.785398163397448,1,0.714328202366543,0
VM221101,227,main,7,3,aslg1505,The family ate supper,family,ate,supper,NA,1605.333333,aslg1505_4ch.wav,0.785398163397448,1,0.327103169062107,0
VM221101,228,main,7,3,aslg0904,They're cutting the grass,Theyre,cutting,grass,NA,1642.666667,aslg0904_4ch.wav,1.75998524187136,0,1.29737285497561,0.974587078473915
VM221101,229,main,7,3,bkbg1202,The girl's washing her hair,girls,washing,hair,NA,1600,bkbg1202_4ch.wav,0.785398163397448,1,0.904008937124866,0
VM221101,230,main,7,3,aslg0513,They bought some tickets,They,bought,tickets,NA,1472,aslg0513_4ch.wav,0.785398163397448,1,2.31301316792418,0
VM221101,231,main,7,2,bkbg0202,They had a lovely day,They,lovely,day,NA,1301.333333,bkbg0202_8ch.wav,0.897633197029888,0,1.59736386949127,0.11223503363244
VM221101,232,main,7,2,aslg1402,The boy filled the buckets,boy,filled,buckets,NA,1781.333333,aslg1402_8ch.wav,0.785398163397448,1,0.286207707820082,0
VM221101,233,main,7,2,aslg0407,They're heading for the park,Theyre,heading,park,NA,1568,aslg0407_8ch.wav,0.785398163397448,1,0.173403450364191,0
VM221101,234,main,7,2,bkbg0903,They’re climbing the tree,Theyre,climbing,tree,NA,1354.666667,bkbg0903_8ch.wav,0.8928130060017,0,0.674668728635552,0.107414842604252
VM221101,235,main,7,2,bkbg0416,The mud stuck on his shoe,mud,stuck,shoe,NA,1706.666667,bkbg0416_8ch.wav,0.918142733835495,0,-2.7270732564065,0.132744570438047
VM221101,236,main,7,2,aslg1211,They worked in the rain,They,worked,rain,NA,1642.666667,aslg1211_8ch.wav,0.785398163397448,1,1.85163511436866,0
VM221101,237,main,8,3,bkbg0315,The room's getting cold,rooms,getting,cold,NA,1440,bkbg0315_4ch.wav,1.75854643410027,0,-2.55917419296695,0.973148270702819
VM221101,238,main,8,3,bkbg0513,The light went out,light,went,out,NA,1546.666667,bkbg0513_4ch.wav,0.785398163397448,1,2.74455386190458,0
VM221101,239,main,8,3,aslg0609,The other team won,other,team,won,NA,1397.333333,aslg0609_4ch.wav,-0.0622519981836407,0,-2.26400775182267,-0.847650161581089
VM221101,240,main,8,3,bkbg0409,He found his brother,He,found,brother,NA,1088,bkbg0409_4ch.wav,0.785398163397448,1,-1.67243736758223,0
VM221101,241,main,8,3,aslg1608,The father answered the door,father,answered,door,NA,1493.333333,aslg1608_4ch.wav,0.785398163397448,1,2.60898788810588,0
VM221101,242,main,8,3,bkbg1207,She’s waiting for her bus,Shes,waiting,bus,NA,1450.666667,bkbg1207_4ch.wav,-0.226091271537299,0,1.33040621714938,-1.01148943493475
VM221101,243,main,8,4,bkbg2102,The dog drank from a bowl,dog,drank,bowl,NA,1749.333333,bkbg2102_4ch.wav,0.942848153337413,0,-0.266408174931382,0.157449989939965
VM221101,244,main,8,4,bkbg1911,The milkman drives a small van,milkman,drives,small,van,1961.020833,bkbg1911_4ch.wav,0.785398163397448,1,-1.06219096384236,0
VM221101,245,main,8,4,bkbg2114,The kettle boiled quickly,kettle,boiled,quickly,NA,1568,bkbg2114_4ch.wav,0.497522571565211,0,-2.1247849660291,-0.287875591832237
VM221101,246,main,8,4,bkbg2107,She made her bed,She,made,bed,NA,1237.333333,bkbg2107_4ch.wav,0.962743538110749,0,1.85719414931545,0.1773453747133
VM221101,247,main,8,4,bkbg2003,The football hit the goalpost,football,hit,goalpost,NA,1824,bkbg2003_4ch.wav,0.785398163397448,1,-1.30470715832409,0
VM221101,248,main,8,4,bkbg0313,Father looked at the book,Father,looked,book,NA,1536,bkbg0313_4ch.wav,0.785398163397448,1,1.5067972783373,0
VM221101,249,main,8,2,bkbg0506,A boy fell from the window,boy,fell,window,NA,1845.333333,bkbg0506_8ch.wav,0.945123563720209,0,0.248982768097139,0.159725400322761
VM221101,250,main,8,2,aslg0409,They're standing up,Theyre,standing,up,NA,1301.333333,aslg0409_8ch.wav,0.785398163397448,1,-1.02431612623389,0
