Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,compared to 2000ms?,,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,latency,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
21,pretrain,1,1,bkbf0315,The room's getting cold,rooms,getting,cold,,1521.133787,478.866213,,bkbf0315_8ch.wav,1.691646464,0,-2.384413355,0.906248301,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0315_8ch.wav,1343300.582,1343300.582,0.2022014,0.2022688,0.239433107,1343300.999,0.417433106,-0.0242014,0.85,1343301.632,1.0516696,1.0517391,1.3534134,1.3534982,1.521125,1343302.521,1343302.782,2.2016638,2.2017254,1343304.282,NaN,NaN,3.70164,3.7017065,1343305.782,5.2173557,5.2015512,5.2015789,NaN,NaN,NaN,0,0,1343302.956,0.1727441,1,0,1343304.556,0.2725403,NaN,NaN,NaN,NaN
22,pretrain,1,1,bkbf0207,The boy knew the game,boy,knew,game,,1342.675737,657.324263,,bkbf0207_8ch.wav,0.785398163,1,-2.692309335,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0207_8ch.wav,1343305.81,1343305.81,0.2021016,0.2021695,0.328662132,1343306.317,0.506662131,-0.0241016,0.85,1343306.86,1.0515878,1.0516121,1.3531356,1.3531715,1.342666667,1343307.66,1343308.01,2.2011941,2.2012165,1343309.51,NaN,NaN,3.7016186,3.7016861,1343311.01,5.2173185,5.2016109,5.2016357,NaN,NaN,NaN,1,1,1343308.986,0.9741969,1,1,1343309.838,0.3264059,NaN,NaN,NaN,NaN
23,pretrain,1,1,bkbf0112,The boy did a handstand,boy,did,handstand,,1600.136054,399.863946,,bkbf0112_8ch.wav,1.691945437,0,-0.046866563,0.906547274,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0112_8ch.wav,1343311.039,1343311.039,0.2021583,0.2022192,0.199931973,1343311.417,0.377931973,-0.0241583,0.85,1343312.089,1.0516275,1.0516888,1.3534084,1.3534766,1.600145833,1343313.017,1343313.239,2.2016098,2.2016772,1343314.739,NaN,NaN,3.7016202,3.7016851,1343316.239,5.217566,5.2017349,5.201796,NaN,NaN,NaN,0,0,1343313.887,0.6467755,1,0,1343315.045,0.3043719,NaN,NaN,NaN,NaN
24,pretrain,1,1,bkbf0210,The police chased the car,police,chased,car,,1558.185941,441.814059,,bkbf0210_8ch.wav,1.831166506,0,1.05979209,1.045768343,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0210_8ch.wav,1343316.267,1343316.267,0.2020601,0.2021207,0.22090703,1343316.666,0.398907029,-0.0240601,0.85,1343317.317,1.0516107,1.0516356,1.3529239,1.3529445,1.5581875,1343318.224,1343318.467,2.2016375,2.2017507,1343319.967,NaN,NaN,3.702015,3.7020758,1343321.467,5.2174574,5.2015294,5.2015795,NaN,NaN,NaN,0,0,1343318.944,0.4745583,1,0,1343320.372,0.4027111,NaN,NaN,NaN,NaN
25,main,2,4,bkbf1415,The grass is getting long,grass,getting,long,,1452.108844,547.891156,,bkbf1415_6ch.wav,0.785398163,1,2.341525945,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1415_6ch.wav,1338232.35,1338232.35,0.2015907,0.2016454,0.273945578,1338232.802,0.451945578,-0.0235907,0.85,1338233.4,1.0511951,1.0512243,1.3524327,1.3524708,1.452104167,1338234.254,1338234.55,2.2012511,2.201275,1338236.05,NaN,NaN,3.7015328,3.7015988,1338237.55,5.2105559,5.2016698,5.201733,NaN,NaN,NaN,0,0,1338235.722,1.1707107,1,1,1338236.595,0.5438527,NaN,NaN,NaN,NaN
26,main,2,4,bkbf0316,A girl kicked the table,girl,kicked,table,,1483.038549,516.961451,,bkbf0316_6ch.wav,0.510087891,0,2.651073392,-0.275310272,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0316_6ch.wav,1338237.583,1338237.583,0.2018674,0.2019286,0.258480726,1338238.019,0.436480725,-0.0238674,0.85,1338238.633,1.0524909,1.0525271,1.3540793,1.3541007,1.483041667,1338239.503,1338239.783,2.2015711,2.2016335,1338241.283,NaN,NaN,3.7015186,3.7015871,1338242.783,5.2162925,5.2018413,5.201865,NaN,NaN,NaN,0,0,1338241.121,1.3363844,0,1,1338242.483,1.1983867,NaN,NaN,NaN,NaN
27,main,2,4,bkbf0903,They're climbing the tree,Theyre,climbing,tree,,1265.21542,734.78458,,bkbf0903_6ch.wav,1.045512989,0,2.953822448,0.260114825,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0903_6ch.wav,1338242.811,1338242.811,0.2017831,0.2018082,0.36739229,1338243.356,0.54539229,-0.0237831,0.85,1338243.861,1.0516272,1.0516889,1.3530037,1.3530356,1.265208333,1338244.622,1338245.011,2.2016428,2.2017125,1338246.511,NaN,NaN,3.7014871,3.701543,1338248.011,5.2175084,5.201619,5.2016915,NaN,NaN,NaN,0,0,1338246.374,1.3615559,0,1,1338247.493,0.9801095,NaN,NaN,NaN,NaN
28,main,2,4,bkbf1409,The girl plays with the baby,girl,plays,baby,,1593.786848,406.213152,,bkbf1409_6ch.wav,0.785398163,1,2.742310033,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1409_6ch.wav,1338248.039,1338248.039,0.2020445,0.202106,0.203106576,1338248.421,0.381106576,-0.0240445,0.85,1338249.089,1.0513011,1.0513267,1.3529701,1.3530304,1.593791667,1338250.015,1338250.239,2.2012363,2.2012624,1338251.739,NaN,NaN,3.7011405,3.7011723,1338253.239,5.2157975,5.2013696,5.2013985,NaN,NaN,NaN,0,0,1338251.241,1.0004183,1,1,1338252.092,0.3512204,NaN,NaN,NaN,NaN
29,main,2,4,bkbf1408,The kitchen window was clean,kitchen,window,clean,,1797.913832,202.086168,,bkbf1408_6ch.wav,1.050243351,0,-1.491115591,0.264845188,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1408_6ch.wav,1338253.268,1338253.268,0.2019343,0.2019959,0.101043084,1338253.547,0.279043084,-0.0239343,0.85,1338254.318,1.0516408,1.0517033,1.3532909,1.3533518,1.797916667,1338255.344,1338255.468,2.2015409,2.2016006,1338256.968,NaN,NaN,3.7014625,3.7014833,1338258.468,5.2170478,5.2016,5.2016245,NaN,NaN,NaN,0,0,1338256.352,0.8820356,0,1,1338257.275,0.3050981,NaN,NaN,NaN,NaN
30,main,2,4,bkbf0814,The footballer lost a boot,footballer,lost,boot,,1694.46712,305.53288,,bkbf0814_6ch.wav,0.785398163,1,-0.065159878,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0814_6ch.wav,1338258.496,1338258.496,0.2020681,0.2021304,0.15276644,1338258.827,0.33076644,-0.0240681,0.85,1338259.546,1.0516287,1.0516903,1.3532831,1.3533424,1.694458333,1338260.522,1338260.696,2.2015593,2.2016195,1338262.196,NaN,NaN,3.7015696,3.7016301,1338263.696,5.2172556,5.2015561,5.2015808,NaN,NaN,NaN,1,1,1338261.875,1.1772584,1,1,1338262.753,0.5554305,NaN,NaN,NaN,NaN
