list,sentence_n,sentence,grammar,first_word,keyword_n,keyword_1,keyword_2,keyword_3,keyword_4,filename,audio_dur
2,15,They’re watching the train,svoc,pronoun,3,Theyre,watching,train,NA,bkbg0215,1344
2,16,The school finished early,sva,determiner,3,school,finished,early,NA,bkbg0216,1610.666667
3,1,The glass bowl broke,sv,determiner,3,glass,bowl,broke,NA,bkbg0301,1621.333333
3,2,The dog played with a stick,svoc,determiner,3,dog,played,stick,NA,bkbg0302,1589.333333
3,3,The kettle's quite hot,sv,determiner,3,kettles,quite,hot,NA,bkbg0303,1621.333333
3,4,The farmer keeps a bull,svoc,determiner,3,farmer,keeps,bull,NA,bkbg0304,1546.666667
3,5,They say some silly things,svoc,pronoun,4,They,say,silly,things,bkbg0305,1802.666667
3,6,The lady wore a coat,svoc,determiner,3,lady,wore,coat,NA,bkbg0306,1632
3,7,The children are walking home,svoc,determiner,3,children,walking,home,NA,bkbg0307,1632
3,8,He needed his holiday,svoc,pronoun,3,He,needed,holiday,NA,bkbg0308,1429.333333
3,9,The milk came in a bottle,svoc,determiner,3,milk,came,bottle,NA,bkbg0309,1653.333333
3,10,The man cleaned his shoes,svoc,determiner,3,man,cleaned,shoes,NA,bkbg0310,1824
3,11,They ate the lemon jelly,svoc,pronoun,4,They,ate,lemon,jelly,bkbg0311,1504
3,12,The boys running away,sva,determiner,3,boys,running,away,NA,bkbg0312,1536
3,13,Father looked at the book,svoc,noun,3,Father,looked,book,NA,bkbg0313,1536
3,14,She drinks from her cup,svoc,pronoun,3,She,drinks,cup,NA,bkbg0314,1237.333333
3,15,The room's getting cold,svoc,determiner,3,rooms,getting,cold,NA,bkbg0315,1440
3,16,A girl kicked the table,svoc,determiner,3,girl,kicked,table,NA,bkbg0316,1546.666667
4,1,The wife helped her husband,svoc,determiner,3,wife,helped,husband,NA,bkbg0401,1834.666667
4,2,The machine was quite noisy,sv,determiner,3,machine,quite,noisy,NA,bkbg0402,1738.666667
4,3,The old man worries,sv,determiner,3,old,man,worries,NA,bkbg0403,1418.666667
4,4,A boy ran down the path,svoc,determiner,3,boy,ran,path,NA,bkbg0404,1770.666667
4,5,The house had a nice garden,svoc,determiner,3,house,nice,garden,NA,bkbg0405,1728
4,6,She spoke to her son,svoc,pronoun,4,She,spoke,to,son,bkbg0406,1397.333333
4,7,They’re crossing the street,svoc,pronoun,3,Theyre,crossing,street,NA,bkbg0407,1344
4,8,Lemons grow on trees,svoc,determiner,3,Lemons,grow,trees,NA,bkbg0408,1653.333333
4,9,He found his brother,svoc,pronoun,3,He,found,brother,NA,bkbg0409,1088
4,10,Some animals sleep on straw,svoc,determiner,4,animals,sleep,on,straw,bkbg0410,1962.666667
4,11,The jam jar was full,sv,determiner,3,jam,jar,full,NA,bkbg0411,1429.333333
4,12,They’re kneeling down,sva,pronoun,3,Theyre,kneeling,down,NA,bkbg0412,1226.666667
4,13,The girl lost her doll,svoc,determiner,3,girl,lost,doll,NA,bkbg0413,1418.666667
4,14,The cooks making a cake,svoc,determiner,3,cooks,making,cake,NA,bkbg0414,1642.666667
4,15,The child grabs the toy,svoc,determiner,3,child,grabs,toy,NA,bkbg0415,1856
4,16,The mud stuck on his shoe,svoc,determiner,3,mud,stuck,shoe,NA,bkbg0416,1706.666667
5,1,The bath towel was wet,sv,determiner,3,bath,towel,wet,NA,bkbg0501,1536
5,2,The matches lie on the shelf,svoc,determiner,3,matches,lie,shelf,NA,bkbg0502,1749.333333
5,3,They’re running past the house,svoc,pronoun,4,Theyre,running,past,house,bkbg0503,1674.666667
5,4,The train had a bad crash,svoc,determiner,3,train,bad,crash,NA,bkbg0504,1962.666667
5,5,The kitchen sink's empty,sv,determiner,3,kitchen,sink,empty,NA,bkbg0505,1749.333333
5,6,A boy fell from the window,svoc,determiner,3,boy,fell,window,NA,bkbg0506,1845.333333
5,7,She used her spoon,svoc,pronoun,3,She,used,spoon,NA,bkbg0507,1493.333333
